1p. Locale broad type (name),1q. Census Region,5o. EPA 2022 Clean School Bus Rebate Program prioritized school district?,2a. Total number of buses,4b. Number of students in district,4c. Number of schools in district,4f. Median household income,4g. Percent of population below the poverty level,5f. PM2.5 concentration,5h. Ozone concentration,5b. Percent non-white and/or Hispanic,0a. Has committed ESBs?
Rural,South,No,16.0,702.0,0.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,South,Yes,112.0,5951.0,15.0,56121.0,0.161,8.733427925,60.65672595,0.201432408,0.0
Urban,South,No,189.0,13557.0,18.0,95406.0,0.07,10.20057729,66.56688531,0.286400972,0.0
Suburban,South,No,109.0,12473.0,11.0,105335.0,0.05,8.456032865,60.19269388,0.338496343,0.0
Town,South,No,16.0,702.0,5.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,South,No,16.0,702.0,0.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,South,No,26.0,2223.0,4.0,62432.0,0.085,9.843984462,63.67052054,0.173742652,0.0
Town,South,Yes,36.0,2471.0,5.0,40732.0,0.21600000000000003,8.95757098,60.51310223,0.232620667,0.0
Suburban,South,No,72.0,5065.0,5.0,108313.0,0.037000000000000005,9.76266382,63.60138568,0.215970041,0.0
Urban,South,No,16.0,702.0,0.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,South,Yes,33.0,2899.0,5.0,46750.0,0.162,9.23147656,58.70196046,0.308639892,0.0
Town,South,Yes,24.0,1871.0,3.0,40516.0,0.22899999999999998,8.647508829,58.12733195,0.185739252,0.0
Urban,South,Yes,31.0,1892.0,6.0,39928.0,0.228,9.258542909,60.88508211,0.447307074,0.0
Rural,South,No,27.0,2653.0,4.0,50321.0,0.142,8.661800575,61.41313393,0.069962771,0.0
Town,South,No,30.0,4840.0,8.0,52211.0,0.136,8.15381751,58.66172337,0.251452801,0.0
Suburban,South,No,16.0,702.0,8.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,South,Yes,19.0,1538.0,3.0,46278.0,0.121,9.227940533,60.97569005,0.205121348,0.0
Suburban,South,No,44.0,3354.0,4.0,61216.0,0.078,9.256670003,58.43121417,0.245535303,0.0
Suburban,South,Yes,11.0,2654.0,4.0,36196.0,0.342,9.346125739,58.6949234,0.524669956,0.0
Suburban,South,No,18.0,1502.0,2.0,88312.0,0.048,9.252448381,58.24945179,0.226066897,0.0
Suburban,South,No,129.0,6425.0,5.0,83181.0,0.067,9.990708927,66.01801685,0.296888321,0.0
Suburban,South,No,62.0,3425.0,4.0,81606.0,0.040999999999999995,10.10344013,66.11283002,0.246785239,0.0
Rural,South,No,43.0,2695.0,4.0,109537.0,0.055999999999999994,9.542371308,59.40157858,0.459566201,0.0
Urban,South,No,16.0,648.0,2.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,South,Yes,2.0,660.0,2.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,South,No,16.0,404.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,South,No,16.0,711.0,2.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,South,No,5.0,625.0,2.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,South,No,16.0,305.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,South,Yes,3.0,282.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,South,No,119.0,9492.0,14.0,54700.0,0.252,9.520264684,58.7986784,0.344353939,0.0
Suburban,South,No,4.0,338.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,South,No,16.0,702.0,0.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,South,No,16.0,79.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,South,No,159.0,9202.0,15.0,62660.0,0.136,9.64178926,59.93974044,0.269029345,0.0
Rural,South,No,386.0,31517.0,45.0,65543.0,0.09300000000000001,8.61956412,59.00224676,0.174273877,0.0
Rural,South,Yes,18.0,715.0,3.0,36864.0,0.223,8.990656011,58.81652515,0.55390158,0.0
Suburban,South,Yes,41.0,3246.0,9.0,32416.0,0.28800000000000003,10.05846203,67.25950471,0.611260409,0.0
Town,South,Yes,62.0,3098.0,9.0,54277.0,0.16899999999999998,9.401276964,63.66116378,0.259503837,0.0
Rural,South,Yes,131.0,7798.0,17.0,54157.0,0.128,9.126504808,62.3508987,0.14076829,0.0
Town,South,Yes,11.0,1224.0,3.0,44528.0,0.184,8.875079996,57.82750028,0.290572014,0.0
Town,South,Yes,41.0,1397.0,4.0,29063.0,0.309,9.111262301,58.44430145,0.796264202,0.0
Rural,South,Yes,49.0,2900.0,7.0,45236.0,0.182,8.796837929,57.9434914,0.490798186,0.0
Rural,South,No,164.0,8050.0,19.0,54622.0,0.139,9.242740696,60.98087064,0.275781782,0.0
Town,South,Yes,65.0,3158.0,10.0,47652.0,0.14300000000000002,9.470850247,59.59228898,0.451828673,0.0
Rural,South,Yes,65.0,3886.0,8.0,43475.0,0.15,9.090985367,60.85403923,0.090650651,0.0
Rural,South,Yes,148.0,7858.0,14.0,56243.0,0.157,9.505092032,62.00905385,0.207325501,0.0
Rural,South,Yes,49.0,1097.0,4.0,38581.0,0.21600000000000003,8.945013421,56.21270869,0.435506567,0.0
Rural,South,Yes,64.0,2171.0,7.0,44496.0,0.247,9.018934828,56.31745003,0.466594217,0.0
Rural,South,Yes,41.0,2507.0,9.0,48100.0,0.141,9.098387873,60.84928387,0.076033497,0.0
Rural,South,Yes,38.0,2846.0,5.0,58810.0,0.158,8.72845026,57.93654969,0.313948805,0.0
Rural,South,No,52.0,2621.0,8.0,56827.0,0.145,7.80064085,56.46865772,0.233815142,0.0
Rural,South,Yes,41.0,1487.0,9.0,37986.0,0.13,8.825792596,57.45626186,0.498981151,0.0
Rural,South,Yes,45.0,805.0,2.0,50013.0,0.111,9.288373283,59.49720398,0.359318138,0.0
Rural,South,Yes,71.0,3040.0,8.0,50656.0,0.165,8.62621467,58.08374468,0.171512403,0.0
Rural,South,Yes,39.0,2240.0,4.0,43103.0,0.131,8.771533973,58.52057885,0.297744361,0.0
Town,South,No,11.0,3226.0,7.0,53972.0,0.11599999999999999,8.829489162,61.62463545,0.095623753,0.0
Rural,South,Yes,147.0,9846.0,27.0,52304.0,0.124,8.846676434,61.74709869,0.089040388,0.0
Rural,South,Yes,70.0,3270.0,9.0,49968.0,0.159,8.794216038,57.8601264,0.246754335,0.0
Town,South,Yes,19.0,1154.0,3.0,53067.0,0.158,8.783643298,58.03131532,0.326965513,0.0
Rural,South,Yes,83.0,2488.0,12.0,44036.0,0.19899999999999998,9.16990691,58.88649724,0.723712578,0.0
Rural,South,Yes,149.0,8717.0,15.0,43865.0,0.201,8.691731611,59.71962781,0.20365039,0.0
Urban,South,No,94.0,8745.0,20.0,52539.0,0.152,8.45744151,60.1428838,0.338252852,0.0
Town,South,Yes,8.0,2064.0,4.0,40968.0,0.215,9.104996059,58.39778624,0.499892195,0.0
Urban,South,Yes,97.0,8254.0,18.0,49203.0,0.182,8.800699544,58.04617913,0.340338776,0.0
Rural,South,Yes,7.0,685.0,3.0,44189.0,0.14400000000000002,8.664976388,58.02257872,0.269009217,0.0
Suburban,South,No,171.0,11971.0,17.0,68589.0,0.10400000000000001,9.588322841,59.21936116,0.269800106,0.0
Town,South,No,93.0,6651.0,10.0,63859.0,0.161,8.770264968,57.94826299,0.356634934,0.0
Town,South,Yes,100.0,4208.0,12.0,36866.0,0.244,8.866141809,57.54089015,0.400471813,0.0
Suburban,South,No,136.0,8702.0,24.0,54432.0,0.10099999999999999,9.199850292,61.03907352,0.213345999,0.0
Town,South,Yes,16.0,6289.0,6.0,35127.0,0.297,9.053854726,59.25219939,0.523201495,0.0
Rural,South,Yes,42.0,2163.0,6.0,44936.0,0.20600000000000002,8.67838444,58.76141807,0.161503208,0.0
Urban,South,Yes,40.0,4645.0,9.0,40944.0,0.201,7.704373637,56.32118705,0.233414026,0.0
Rural,South,Yes,67.0,3637.0,10.0,43362.0,0.187,7.843136022,56.82691752,0.241930449,0.0
Urban,South,Yes,31.0,4939.0,15.0,35776.0,0.272,9.22094032,61.08713659,0.324889729,0.0
Town,South,Yes,16.0,1252.0,3.0,38125.0,0.305,8.55468309,57.92707182,0.180203046,0.0
Rural,South,Yes,40.0,2784.0,10.0,47349.0,0.215,8.594745145,58.05950763,0.18463389,0.0
Rural,South,Yes,21.0,913.0,5.0,28826.0,0.39799999999999996,9.024375258,57.81545698,0.825754681,0.0
Town,South,Yes,22.0,1851.0,4.0,53750.0,0.188,8.639503069,60.73898561,0.13893214,0.0
Town,South,Yes,42.0,2318.0,7.0,32294.0,0.249,9.091762379,58.85729874,0.616640799,0.0
Rural,South,Yes,9.0,1644.0,4.0,48080.0,0.17,8.099479246,57.09618771,0.102899143,0.0
Suburban,South,No,30.0,3638.0,6.0,60526.0,0.11599999999999999,8.482625187,61.06681778,0.107071743,0.0
Town,South,Yes,41.0,2530.0,6.0,55870.0,0.14400000000000002,8.831207241,57.93407303,0.307486164,0.0
Suburban,South,No,9.0,4371.0,5.0,89433.0,0.079,10.35137813,67.33765934,0.301279581,0.0
Rural,South,No,105.0,6883.0,15.0,51656.0,0.166,8.783569985,58.12936088,0.275210879,0.0
Urban,South,No,170.0,23776.0,45.0,61024.0,0.146,8.332888819,60.45289478,0.376707828,0.0
Rural,South,Yes,98.0,5200.0,18.0,43861.0,0.171,8.134080027,58.9437413,0.114143715,0.0
Suburban,South,No,19.0,1752.0,2.0,41920.0,0.267,9.190545471,61.01219263,0.213740458,0.0
Suburban,South,No,538.0,35951.0,57.0,62050.0,0.134,10.05959649,66.36641879,0.457880487,0.0
Rural,South,Yes,64.0,2201.0,5.0,43324.0,0.163,8.689060933,57.37134127,0.140282863,0.0
Rural,South,Yes,109.0,8080.0,15.0,62060.0,0.084,7.599274991,56.44675615,0.129274685,0.0
Rural,South,Yes,139.0,4698.0,14.0,51712.0,0.154,8.109854034,58.05240093,0.237722506,0.0
Suburban,South,No,188.0,9312.0,14.0,58615.0,0.162,9.603237154,59.32815911,0.304058956,0.0
Town,South,Yes,143.0,15887.0,17.0,67195.0,0.124,8.11634822,58.7896218,0.236433642,0.0
Rural,South,Yes,13.0,434.0,3.0,36538.0,0.192,9.078376209,58.03701433,0.476105137,0.0
Rural,South,Yes,46.0,1176.0,9.0,31961.0,0.215,9.087125799,58.97562049,0.751693439,0.0
Town,South,Yes,41.0,1790.0,7.0,39303.0,0.222,9.375571197,58.27717605,0.835300154,0.0
Suburban,South,No,281.0,20551.0,30.0,84116.0,0.069,8.227917419,60.17056468,0.308308695,0.0
Rural,South,Yes,38.0,953.0,3.0,32989.0,0.244,9.062353407,57.92624944,0.553590761,0.0
Rural,South,Yes,78.0,3329.0,11.0,42979.0,0.17600000000000002,8.205258471,57.10594924,0.091113228,0.0
Suburban,South,Yes,11.0,1045.0,4.0,46929.0,0.201,10.23734635,68.19037552,0.947971969,0.0
Urban,South,Yes,765.0,51979.0,92.0,50687.0,0.179,9.24385546,59.42447018,0.437763873,0.0
Rural,South,Yes,66.0,3077.0,9.0,32631.0,0.222,8.907907432,56.48191526,0.46094954,0.0
Rural,South,Yes,136.0,7691.0,19.0,60970.0,0.14800000000000002,8.471491753,60.64053162,0.227546496,0.0
Suburban,South,No,7.0,4409.0,6.0,150268.0,0.04,10.2722528,66.30700685,0.123377615,0.0
Urban,South,No,12.0,2896.0,7.0,61772.0,0.054000000000000006,7.829769075,56.40823417,0.255308519,0.0
Rural,South,No,16.0,1403.0,3.0,40391.0,0.16399999999999998,9.169714009,62.18709716,0.151746262,0.0
Urban,South,Yes,46.0,5048.0,9.0,51074.0,0.172,9.543778824,58.95812274,0.359910812,0.0
Rural,South,Yes,15.0,1329.0,3.0,40372.0,0.16899999999999998,8.584916375,57.97676288,0.18556594,0.0
Urban,South,No,66.0,4203.0,7.0,60401.0,0.14,9.233567885,60.70401812,0.303541315,0.0
Town,South,Yes,48.0,2054.0,6.0,44007.0,0.192,8.791378526,57.83995239,0.342287204,0.0
Town,South,No,59.0,4157.0,8.0,60897.0,0.13699999999999998,9.551563912,61.95871846,0.119533916,0.0
Rural,South,Yes,35.0,935.0,2.0,27057.0,0.35700000000000004,9.09130266,59.29188329,0.706044587,0.0
Suburban,South,Yes,88.0,7218.0,12.0,43296.0,0.264,9.757029439,60.53832843,0.47973558,0.0
Rural,South,Yes,63.0,2373.0,7.0,43389.0,0.22699999999999998,8.952421725,57.30488914,0.464760915,0.0
Town,South,No,16.0,1131.0,3.0,45471.0,0.17600000000000002,9.122129942,60.9829121,0.122472784,0.0
Rural,South,Yes,47.0,2155.0,7.0,43424.0,0.201,8.882770676,58.65291854,0.43781337,0.0
Rural,South,Yes,48.0,2090.0,8.0,49733.0,0.175,9.091855018,59.89160168,0.251592067,0.0
Town,South,Yes,11.0,1447.0,4.0,38731.0,0.20600000000000002,9.158575714,59.9118594,0.342391928,0.0
Rural,South,Yes,80.0,3695.0,8.0,53091.0,0.13,9.654772953,60.54418561,0.537133437,0.0
Town,South,Yes,29.0,2614.0,5.0,43829.0,0.16899999999999998,7.81545496,56.83327252,0.374626706,0.0
Town,South,No,34.0,2416.0,5.0,43672.0,0.188,8.180870401,58.93300893,0.091591539,0.0
Suburban,South,Yes,5.0,1043.0,4.0,36642.0,0.256,7.831053262,56.39563922,0.277018383,0.0
Suburban,South,No,372.0,21179.0,31.0,79201.0,0.08199999999999999,10.00269437,65.47284784,0.232559633,0.0
Rural,South,Yes,141.0,9747.0,20.0,65011.0,0.11800000000000001,9.501644455,62.21354604,0.148147633,0.0
Rural,South,Yes,43.0,1006.0,5.0,27099.0,0.316,9.076680814,57.19724034,0.751642365,0.0
Town,South,Yes,22.0,2125.0,4.0,41864.0,0.251,9.392033857,61.27035135,0.32108344,0.0
Rural,South,Yes,22.0,1560.0,6.0,31795.0,0.268,9.252068013,60.9658911,0.50189746,0.0
Rural,South,Yes,129.0,7204.0,18.0,48284.0,0.16399999999999998,9.355532576,61.16114129,0.36025502,0.0
Rural,South,Yes,57.0,2791.0,6.0,53196.0,0.172,9.251158641,58.59019769,0.316951771,0.0
Rural,South,Yes,8.0,1536.0,3.0,56776.0,0.11,9.398947746,58.36201647,0.223713953,0.0
Suburban,South,Yes,13.0,1271.0,3.0,36927.0,0.244,10.18769526,66.832045,0.678909246,0.0
Town,South,Yes,14.0,1056.0,3.0,43310.0,0.09699999999999999,9.025341285,56.6504512,0.430901542,0.0
Rural,South,Yes,13.0,1763.0,5.0,36409.0,0.273,8.888837781,58.68372408,0.442472133,0.0
Urban,South,Yes,125.0,11186.0,20.0,44500.0,0.22699999999999998,9.284018448,60.53152838,0.426410067,0.0
Suburban,South,No,247.0,19377.0,36.0,65976.0,0.109,9.276826785,60.7267098,0.370470331,0.0
Suburban,South,No,17.0,7069.0,9.0,118539.0,0.038,10.28464736,66.60509856,0.197117213,0.0
Rural,South,Yes,133.0,7188.0,18.0,44803.0,0.171,9.037749662,63.20717223,0.123063472,0.0
Rural,South,Yes,71.0,2530.0,8.0,44512.0,0.16699999999999998,8.954494611,56.62749688,0.348850649,0.0
Rural,South,Yes,43.0,1240.0,6.0,36385.0,0.27399999999999997,8.980005734,57.07672876,0.732734419,0.0
Rural,South,Yes,15.0,1255.0,3.0,56333.0,0.19399999999999998,8.399099462,57.88026153,0.092541835,0.0
Rural,South,Yes,71.0,2302.0,10.0,45501.0,0.20199999999999999,8.330595954,58.8291823,0.06744186,0.0
Rural,South,No,16.0,1259.0,2.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Suburban,South,No,16.0,139.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,South,No,16.0,702.0,0.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Urban,South,No,16.0,702.0,0.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Town,South,Yes,69.0,5900.0,6.0,51718.0,0.20800000000000002,8.850992736,60.48419572,0.30626533,1.0
Urban,South,Yes,169.0,21130.0,49.0,39403.0,0.255,10.19334182,66.77349821,0.603935923,1.0
Rural,South,Yes,53.0,1784.0,4.0,45163.0,0.16899999999999998,8.973054413,59.77646293,0.195854484,1.0
Suburban,South,Yes,9.0,1476.0,6.0,43914.0,0.196,10.22465733,68.34478615,0.929748062,1.0
Town,South,No,33.0,3515.0,5.0,44330.0,0.225,8.735479668,59.66349809,0.244412583,1.0
Rural,South,No,23.0,2450.0,3.0,53048.0,0.08199999999999999,8.024525562,61.05377118,0.062334218,1.0
Town,South,No,30.0,2770.0,5.0,55721.0,0.162,8.963693912,62.72988184,0.135798482,1.0
Town,South,Yes,12.0,963.0,3.0,46404.0,0.182,9.517232568,59.70866187,0.512597639,1.0
Urban,South,Yes,215.0,26821.0,52.0,51132.0,0.203,9.668197355,59.72930261,0.675730775,1.0
Town,South,Yes,9.0,2587.0,11.0,29656.0,0.294,9.185987313,58.91691508,0.787685545,1.0
Suburban,South,Yes,8.0,1513.0,6.0,42692.0,0.231,7.808574032,56.48249254,0.198662512,1.0
Rural,West,Yes,9.0,3970.0,29.0,61758.0,0.28,0.0,0.0,0.926418044,0.0
Rural,West,Yes,16.0,2035.0,11.0,37451.0,0.386,0.0,0.0,0.970915271,0.0
Rural,West,Yes,16.0,471.0,3.0,40000.0,0.39,0.0,0.0,0.984660876,0.0
Rural,West,Yes,16.0,339.0,1.0,37813.0,0.268,0.0,0.0,0.967201341,0.0
Rural,West,No,16.0,407.0,1.0,62528.0,0.10800000000000001,7.6043154625,59.16812578,0.155834028,0.0
Rural,West,Yes,16.0,211.0,4.0,72258.0,0.134,0.0,0.0,0.872103256,0.0
Rural,West,Yes,16.0,16.0,2.0,51750.0,0.10300000000000001,0.0,0.0,0.771472101,0.0
Rural,West,Yes,16.0,1830.0,15.0,49881.0,0.298,0.0,0.0,0.857100298,0.0
Rural,West,Yes,5.0,121.0,3.0,81563.0,0.035,0.0,0.0,0.587750294,0.0
Rural,West,Yes,10.0,386.0,8.0,43605.0,0.16899999999999998,0.0,0.0,0.379518072,1.0
Rural,West,Yes,3.0,340.0,3.0,77667.0,0.017,0.0,0.0,0.35722499,0.0
Rural,West,Yes,12.0,400.0,5.0,67226.0,0.105,0.0,0.0,0.423106498,0.0
Rural,West,Yes,4.0,668.0,4.0,61875.0,0.12,0.0,0.0,0.430442638,0.0
Rural,West,Yes,12.0,938.0,5.0,77230.0,0.083,0.0,0.0,0.279456855,0.0
Rural,West,Yes,7.0,420.0,2.0,82604.0,0.111,0.0,0.0,0.770135747,0.0
Suburban,West,Yes,3.0,7177.0,4.0,76250.0,0.16,0.0,0.0,0.845008274,0.0
Town,West,No,17.0,2074.0,9.0,77820.0,0.094,0.0,0.0,0.375421479,0.0
Urban,West,No,279.0,43727.0,96.0,88871.0,0.091,0.0,0.0,0.438681229,0.0
Town,West,No,42.0,4338.0,15.0,90126.0,0.07200000000000001,0.0,0.0,0.374937965,0.0
Town,West,No,9.0,1120.0,6.0,82083.0,0.069,0.0,0.0,0.385536511,0.0
Rural,West,Yes,3.0,262.0,3.0,63355.0,0.16699999999999998,0.0,0.0,0.203050524,0.0
Rural,West,Yes,16.0,112.0,1.0,64432.0,0.08199999999999999,0.0,0.0,0.556510529,0.0
Rural,West,Yes,16.0,121.0,2.0,45938.0,0.266,0.0,0.0,0.401773215,0.0
Rural,West,Yes,2.0,111.0,1.0,64000.0,0.187,0.0,0.0,0.401773215,0.0
Rural,West,No,112.0,8528.0,42.0,70609.0,0.11900000000000001,0.0,0.0,0.213009487,0.0
