committed,operating,delivering,high_income,low_income,high_poverty,high_need,urban,rural,large_district,small_district,epa_2023,pollution_burden
1,1,0,0,1,1,1,0,1,1,0,0,1
1,1,0,0,1,1,1,0,0,1,0,1,0
0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,1,0,0,0,0,1,0,1,0,0
0,0,0,0,1,1,1,0,1,1,0,1,1
0,0,0,1,0,0,0,1,0,1,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,0,1,0,0,1,0,1,1
0,0,0,0,1,1,1,0,0,1,0,1,1
0,0,0,1,0,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1,0,1,0
0,0,0,0,1,1,1,0,0,1,0,1,0
0,0,0,0,1,1,1,1,0,1,0,1,1
0,0,0,0,1,1,0,0,1,1,0,0,1
0,0,0,0,1,1,1,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,1,0,0,1,0,1,1
0,0,0,0,1,0,1,0,0,1,0,0,0
0,0,0,0,1,1,1,0,0,1,0,1,0
0,0,0,1,0,0,1,0,0,1,0,0,0
0,0,0,1,0,0,1,0,0,1,0,0,1
0,0,0,1,0,0,1,0,0,1,0,0,1
0,0,0,1,0,0,0,0,1,1,0,0,1
0,0,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,1,0,1,0,1,1,0
0,0,0,0,0,0,1,1,0,0,1,0,0
1,0,0,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,1,0,1,1,0
0,0,0,0,1,1,0,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,0
0,0,0,1,0,1,1,0,1,1,0,0,1
0,0,0,1,0,0,1,0,1,1,0,0,0
0,0,0,0,1,1,1,0,1,1,0,1,0
0,0,0,0,1,1,1,0,0,1,0,1,1
0,0,0,0,1,1,1,0,0,1,0,1,1
1,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,0,1,1,1,0,1,1,0,0,1
0,0,0,0,1,1,1,0,0,1,0,1,0
0,0,0,0,1,1,1,0,0,1,0,1,0
0,0,0,0,1,1,1,0,1,1,0,1,0
0,0,0,0,1,1,1,0,1,1,0,1,1
