1p. Locale broad type (name),1q. Census Region,2a. Total number of buses,4b. Number of students in district,4c. Number of schools in district,4f. Median household income,4g. Percent of population below the poverty level,5f. PM2.5 concentration,5h. Ozone concentration
Town,South,9.0,1354.0,3.0,47178.0,0.198,7.372506794,56.84137998
Rural,Midwest,12.0,372.0,4.0,58886.0,0.12,8.492545805,59.8161815
Rural,Northeast,5.0,283.0,1.0,102969.0,0.109,8.300322466,65.85462
Rural,Midwest,14.0,1445.0,3.0,39019.0,0.293,4.798754207,52.46105034
Rural,Midwest,7.0,270.0,2.0,51563.0,0.079,5.508393595,54.81314652
Rural,Midwest,15.0,355.0,3.0,55214.0,0.114,6.605510473,55.61178452
Rural,Midwest,9.0,139.0,2.0,53125.0,0.218,4.944911475,54.138157
Rural,South,38.0,1958.0,4.0,48000.0,0.19,8.95871937,63.26147638
Suburban,West,2.0,3100.0,10.0,42708.0,0.19899999999999998,0.0,0.0
Suburban,Midwest,17.0,1138.0,3.0,68776.0,0.06,8.698699392,59.24673552
Rural,Midwest,5.0,172.0,2.0,45250.0,0.115,7.515027323,57.20584797
Rural,West,11.0,119.0,2.0,50227.0,0.066,4.706484438,55.61582
Suburban,West,41.0,3893.0,7.0,82126.0,0.09300000000000001,6.950728982,51.24955244
Suburban,Midwest,47.0,3895.0,7.0,81115.0,0.057,8.332232168,60.35029708
Suburban,Northeast,7.0,1609.0,3.0,202946.0,0.027999999999999997,7.769973391,70.79761211
Town,South,142.0,8115.0,14.0,43713.0,0.223,7.760115346,56.11083634
Rural,South,102.0,10941.0,19.0,65681.0,0.125,5.506995235,58.72422268
Rural,South,13.0,606.0,3.0,51667.0,0.114,5.805419197,60.85534223
Suburban,Midwest,22.0,1886.0,3.0,77083.0,0.063,9.204414241,58.76405568
Suburban,Midwest,4.0,1933.0,5.0,81016.0,0.105,8.54933199,61.96864037
Suburban,Midwest,108.0,8595.0,9.0,97606.0,0.047,9.252271728,61.3964522
Rural,Midwest,12.0,776.0,3.0,60529.0,0.107,7.171838376,59.7539199
Rural,West,15.0,1820.0,4.0,45274.0,0.134,4.266495634,62.53815738
Town,Midwest,18.0,1541.0,4.0,53003.0,0.153,7.437039356,58.55596278
Rural,West,15.0,673.0,3.0,51698.0,0.125,4.61981637,55.62651849
Town,South,58.0,8929.0,24.0,73153.0,0.11,5.942793011,54.04514022
Urban,West,11.0,13876.0,17.0,168042.0,0.048,6.986880558,62.66642818
Rural,South,20.0,789.0,3.0,65179.0,0.17800000000000002,5.646817673,61.94679569
Rural,Midwest,10.0,762.0,2.0,35707.0,0.33299999999999996,7.394031729,55.54790213
Town,South,14.0,604.0,3.0,47228.0,0.156,7.199233986,61.13938039
Rural,South,26.0,1251.0,3.0,47750.0,0.302,8.126717983,57.60059403
Rural,Midwest,8.0,269.0,2.0,68920.0,0.083,7.186035617,54.00617565
Rural,Midwest,10.0,232.0,2.0,48199.0,0.16899999999999998,6.79010963,54.2297303
Rural,Midwest,6.0,184.0,2.0,61146.0,0.094,6.937224068,58.1935275
Urban,West,2.0,4448.0,3.0,177354.0,0.046,7.096000912,58.23060819
Rural,South,7.0,283.0,1.0,31941.0,0.254,8.54728137,59.72304
Suburban,Midwest,14.0,279.0,3.0,55612.0,0.114,9.967649389,62.7193966
Suburban,West,198.0,33386.0,50.0,92979.0,0.055999999999999994,6.685368211,64.99152034
Rural,South,16.0,768.0,2.0,43438.0,0.127,8.696205403,63.21134421
Urban,Midwest,95.0,9149.0,22.0,61443.0,0.141,8.144924573,58.33862575
Rural,Midwest,6.0,306.0,2.0,55063.0,0.204,7.130765512,55.12201564
Suburban,West,20.0,3416.0,10.0,94151.0,0.21,5.598023015,57.01622576
Rural,Northeast,2.0,0.0,0.0,46250.0,0.158,4.764812795,48.39648
Suburban,South,24.0,1527.0,5.0,78537.0,0.040999999999999995,9.275135329,60.72109796
Suburban,Midwest,24.0,19159.0,29.0,106997.0,0.040999999999999995,7.668443195,56.80985497
Rural,Midwest,4.0,91.0,1.0,60000.0,0.039,7.085514384,55.15267
Suburban,Northeast,46.0,3665.0,6.0,81658.0,0.078,6.705987268,61.61780815
Suburban,Northeast,2.0,2197.0,4.0,204792.0,0.022000000000000002,7.89854722,71.72712622
Suburban,Northeast,5.0,2044.0,6.0,90162.0,0.077,7.948033353,63.97126607
Rural,Midwest,17.0,1010.0,3.0,65049.0,0.113,8.002809613,55.83031548
Rural,Northeast,18.0,742.0,3.0,56382.0,0.133,6.404611769,52.68359932
Rural,Midwest,12.0,840.0,3.0,72538.0,0.066,7.128886996,58.88646844
Town,West,49.0,5730.0,12.0,66313.0,0.08199999999999999,5.903820481,44.94510864
Town,South,2.0,3641.0,8.0,52411.0,0.172,7.475879428,59.26921082
Town,West,40.0,3083.0,9.0,68111.0,0.14300000000000002,7.957617108,52.27981663
Suburban,West,16.0,1603.0,7.0,84806.0,0.048,7.508088978,48.55574077
Suburban,Northeast,24.0,2726.0,4.0,102143.0,0.033,6.728548392,63.8691016
Urban,South,1159.0,95230.0,168.0,61497.0,0.138,9.836448627,63.07925682
Urban,West,90.0,9664.0,21.0,59235.0,0.14800000000000002,8.144194631,52.87589039
Rural,Midwest,2.0,35.0,1.0,41778.0,0.05,4.447320685,54.63254
Rural,South,34.0,1932.0,4.0,62204.0,0.106,8.97019312,60.62842646
Suburban,Northeast,7.0,2889.0,6.0,71811.0,0.076,5.447760823,58.47508532
Town,West,13.0,1349.0,6.0,65968.0,0.147,5.425336698,51.42328124
Suburban,South,706.0,92667.0,74.0,105213.0,0.077,10.07601539,68.35638424
Town,Midwest,7.0,799.0,3.0,53092.0,0.102,8.02760929,58.71615097
Rural,Northeast,5.0,123.0,1.0,81023.0,0.07400000000000001,7.359083014,64.58222
Town,Midwest,10.0,1452.0,5.0,50550.0,0.16699999999999998,7.749425791,63.92109123
Rural,South,16.0,1065.0,4.0,58045.0,0.128,9.054286031,66.10032522
Rural,Midwest,3.0,150.0,1.0,48036.0,0.163,5.028875918,53.52536
Rural,South,40.0,2381.0,4.0,63498.0,0.127,8.219639292,61.84722978
Rural,Northeast,13.0,412.0,2.0,58298.0,0.063,5.555487634,52.5924635
Rural,Midwest,5.0,238.0,1.0,66422.0,0.022000000000000002,5.666816368,56.03816032
Rural,West,6.0,66.0,2.0,50560.0,0.09300000000000001,8.342726356,52.53549
Rural,Midwest,9.0,151.0,3.0,66250.0,0.025,4.162037451,54.80274106
Rural,South,7.0,685.0,3.0,44189.0,0.14400000000000002,8.664976388,58.02257872
Town,Midwest,59.0,3253.0,8.0,48101.0,0.17,8.6465285,61.47135153
Suburban,Midwest,2.0,212.0,1.0,67393.0,0.086,9.95662411,65.27329
Rural,Midwest,9.0,423.0,2.0,60607.0,0.18600000000000003,5.764917758,56.72358528
Urban,Midwest,123.0,11855.0,27.0,77264.0,0.087,9.038478219,59.28773261
Town,South,22.0,2716.0,6.0,49860.0,0.126,8.752844103,59.40924973
Rural,Midwest,1.0,2335.0,5.0,64678.0,0.107,7.446143957,56.68804339
Rural,West,7.0,360.0,2.0,31381.0,0.26,3.925564822,60.45769
Rural,Midwest,10.0,475.0,2.0,57589.0,0.086,9.107562527,60.67942082
Rural,Midwest,4.0,231.0,1.0,55000.0,0.09300000000000001,8.443092754,59.74577502
Rural,West,1.0,106.0,3.0,43125.0,0.076,3.758551229,61.07364592
Rural,Midwest,32.0,3154.0,5.0,52676.0,0.105,9.47491642,60.16527169
Town,West,106.0,7178.0,14.0,47152.0,0.166,4.112225867,61.80275032
Suburban,Northeast,1.0,137.0,1.0,59348.0,0.063,8.27070137,63.365
Rural,West,3.0,138.0,1.0,41429.0,0.096,9.78737903,71.62155245
Rural,West,12.0,581.0,4.0,66860.0,0.113,6.164386569,50.40047916
Suburban,Midwest,37.0,3680.0,8.0,51525.0,0.132,10.25626983,63.54291038
Rural,West,8.0,519.0,2.0,57879.0,0.156,7.306318469,53.04285248
Rural,Midwest,18.0,1236.0,6.0,64972.0,0.109,5.861517145,57.21598975
Town,Midwest,12.0,997.0,3.0,41654.0,0.205,7.168666911,55.84331433
Rural,West,11.0,314.0,2.0,40610.0,0.22,3.90733591,65.58064927
Rural,South,13.0,1647.0,5.0,45955.0,0.256,6.766822958,65.04927701
Rural,West,11.0,762.0,2.0,64820.0,0.084,7.830186219,52.8088068
Town,West,72.0,7086.0,14.0,147635.0,0.040999999999999995,5.589046023,51.47271905
Rural,Northeast,13.0,557.0,3.0,74717.0,0.063,4.29366074,52.37794
Town,South,29.0,1409.0,4.0,46207.0,0.151,7.291786302,60.99666718
Urban,Midwest,89.0,8683.0,18.0,63586.0,0.10400000000000001,7.604445606,55.01067246
Rural,West,6.0,122.0,3.0,79375.0,0.14300000000000002,3.499143918,55.59282196
Rural,South,9.0,206.0,1.0,57946.0,0.14400000000000002,5.947779288,60.40653733
Rural,South,13.0,794.0,2.0,44444.0,0.17300000000000001,6.925743448,60.36546254
Rural,Midwest,1.0,58.0,1.0,92150.0,0.063,5.08223663,56.90889
Rural,Midwest,10.0,497.0,3.0,62738.0,0.106,7.930336296,65.15412819
Suburban,Midwest,83.0,6371.0,8.0,81432.0,0.063,9.403527957,60.95019578
Rural,South,13.0,1266.0,4.0,72926.0,0.114,8.699788836,70.80159458
Rural,Midwest,53.0,5062.0,17.0,78687.0,0.091,5.897268469,58.12812811
Suburban,South,44.0,10386.0,12.0,67883.0,0.08199999999999999,8.697619812,64.91356026
Suburban,Midwest,16.0,521.0,1.0,57588.0,0.16899999999999998,10.16333807,65.2774189
Suburban,Northeast,66.0,3116.0,5.0,99319.0,0.036000000000000004,7.072206106,52.72502681
Suburban,South,266.0,31105.0,34.0,119818.0,0.051,7.768682221,57.57242268
Town,Midwest,13.0,1585.0,3.0,74543.0,0.10800000000000001,8.748308445,62.95241125
Rural,Midwest,35.0,1075.0,3.0,70769.0,0.11,8.480677967,59.56809865
Rural,Northeast,4.0,1121.0,3.0,90592.0,0.08800000000000001,7.29252675,65.2512782
Suburban,Midwest,10.0,1304.0,5.0,64149.0,0.064,8.291427708,61.74586636
Rural,West,3.0,39.0,1.0,131750.0,0.044000000000000004,5.205649983,51.74110368
Rural,Midwest,6.0,784.0,3.0,63889.0,0.114,8.414013174,64.28878638
Rural,Midwest,16.0,972.0,2.0,69574.0,0.067,8.114275493,58.96357147
Town,Midwest,8.0,1352.0,5.0,46405.0,0.212,8.301219925,59.75327607
Rural,South,5.0,144.0,1.0,61635.0,0.035,6.146725205,68.134
Suburban,West,349.0,22372.0,28.0,52507.0,0.157,7.725315434,79.71958768
Rural,Midwest,19.0,865.0,3.0,57358.0,0.135,7.40808397,58.23580229
Rural,Midwest,28.0,2226.0,5.0,75677.0,0.102,8.818136173,57.90954883
Rural,Midwest,11.0,658.0,2.0,85208.0,0.036000000000000004,7.733136631,55.13980845
Urban,West,123.0,15119.0,24.0,80290.0,0.099,6.619367626,48.66099872
